Age,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,MaritalStatus,NumCompaniesWorked,Over18,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,Attrition
41,1,2,Life Sciences,1,Female,Single,8,Y,1,8,1,Yes
49,8,1,Life Sciences,2,Male,Married,1,Y,4,10,3,No
37,2,2,Other,4,Male,Single,6,Y,2,7,3,Yes
33,3,4,Life Sciences,5,Female,Married,1,Y,3,8,3,No
27,2,1,Medical,7,Male,Married,9,Y,4,6,3,No
32,2,2,Life Sciences,8,Male,Single,0,Y,3,8,2,No
59,3,3,Medical,10,Female,Married,4,Y,1,12,2,No
30,24,1,Life Sciences,11,Male,Divorced,1,Y,2,1,3,No
38,23,3,Life Sciences,12,Male,Single,0,Y,2,10,3,No
36,27,3,Medical,13,Male,Married,6,Y,2,17,2,No
35,16,3,Medical,14,Male,Married,0,Y,3,6,3,No
29,15,2,Life Sciences,15,Female,Single,0,Y,4,10,3,No
31,26,1,Life Sciences,16,Male,Divorced,1,Y,4,5,2,No
34,19,2,Medical,18,Male,Divorced,0,Y,3,3,3,No
28,24,3,Life Sciences,19,Male,Single,5,Y,2,6,3,Yes
29,21,4,Life Sciences,20,Female,Divorced,1,Y,3,10,3,No
32,5,2,Life Sciences,21,Male,Divorced,0,Y,4,7,2,No
22,16,2,Medical,22,Male,Divorced,1,Y,2,1,2,No
53,2,4,Life Sciences,23,Female,Married,2,Y,3,31,3,No
38,2,3,Life Sciences,24,Male,Single,5,Y,3,6,3,No
24,11,2,Other,26,Female,Divorced,0,Y,4,5,2,No
36,9,4,Life Sciences,27,Male,Single,7,Y,2,10,3,Yes
34,7,4,Life Sciences,28,Female,Single,0,Y,3,13,3,No
21,15,2,Life Sciences,30,Male,Single,1,Y,4,0,3,No
34,6,1,Medical,31,Male,Single,2,Y,3,8,3,Yes
53,5,3,Other,32,Female,Divorced,4,Y,4,26,2,No
32,16,1,Life Sciences,33,Female,Single,1,Y,2,10,3,Yes
42,8,4,Marketing,35,Male,Married,0,Y,4,10,3,No
44,7,4,Medical,36,Female,Married,3,Y,4,24,3,No
46,2,4,Marketing,38,Female,Single,3,Y,4,22,2,No
33,2,3,Medical,39,Male,Single,4,Y,4,7,3,No
44,10,4,Other,40,Male,Married,2,Y,4,9,4,No
30,9,2,Medical,41,Male,Single,1,Y,1,10,3,No
39,5,3,Technical Degree,42,Male,Married,3,Y,3,19,4,Yes
24,1,3,Medical,45,Male,Married,2,Y,1,6,2,Yes
43,2,2,Medical,46,Female,Divorced,1,Y,4,6,2,No
50,3,2,Marketing,47,Male,Married,1,Y,3,3,3,Yes
35,2,3,Marketing,49,Female,Married,1,Y,1,2,3,No
36,5,4,Life Sciences,51,Female,Married,9,Y,4,6,4,No
