,Attrition,BusinessTravel,DailyRate,Department,EmployeeCount,EmployeeNumber,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,Yes,Travel_Rarely,1102,Sales,1,1,94,3,2,Sales Executive,4,5993,19479,Yes,11,3,80,0,0,6,4,0,5
1,No,Travel_Frequently,279,Research & Development,1,2,61,2,2,Research Scientist,2,5130,24907,No,23,4,80,1,3,10,7,1,7
2,Yes,Travel_Rarely,1373,Research & Development,1,4,92,2,1,Laboratory Technician,3,2090,2396,Yes,15,3,80,0,3,0,0,0,0
3,No,Travel_Frequently,1392,Research & Development,1,5,56,3,1,Research Scientist,3,2909,23159,Yes,11,3,80,0,3,8,7,3,0
4,No,Travel_Rarely,591,Research & Development,1,7,40,3,1,Laboratory Technician,2,3468,16632,No,12,3,80,1,3,2,2,2,2
5,No,Travel_Frequently,1005,Research & Development,1,8,79,3,1,Laboratory Technician,4,3068,11864,No,13,3,80,0,2,7,7,3,6
6,No,Travel_Rarely,1324,Research & Development,1,10,81,4,1,Laboratory Technician,1,2670,9964,Yes,20,4,80,3,3,1,0,0,0
7,No,Travel_Rarely,1358,Research & Development,1,11,67,3,1,Laboratory Technician,3,2693,13335,No,22,4,80,1,2,1,0,0,0
8,No,Travel_Frequently,216,Research & Development,1,12,44,2,3,Manufacturing Director,3,9526,8787,No,21,4,80,0,2,9,7,1,8
9,No,Travel_Rarely,1299,Research & Development,1,13,94,3,2,Healthcare Representative,3,5237,16577,No,13,3,80,2,3,7,7,7,7
10,No,Travel_Rarely,809,Research & Development,1,14,84,4,1,Laboratory Technician,2,2426,16479,No,13,3,80,1,5,5,4,0,3
11,No,Travel_Rarely,153,Research & Development,1,15,49,2,2,Laboratory Technician,3,4193,12682,Yes,12,3,80,0,3,9,5,0,8
12,No,Travel_Rarely,670,Research & Development,1,16,31,3,1,Research Scientist,3,2911,15170,No,17,3,80,1,1,5,2,4,3
13,No,Travel_Rarely,1346,Research & Development,1,18,93,3,1,Laboratory Technician,4,2661,8758,No,11,3,80,1,2,2,2,1,2
14,Yes,Travel_Rarely,103,Research & Development,1,19,50,2,1,Laboratory Technician,3,2028,12947,Yes,14,3,80,0,4,4,2,0,3
15,No,Travel_Rarely,1389,Research & Development,1,20,51,4,3,Manufacturing Director,1,9980,10195,No,11,3,80,1,1,10,9,8,8
16,No,Travel_Rarely,334,Research & Development,1,21,80,4,1,Research Scientist,2,3298,15053,Yes,12,3,80,2,5,6,2,0,5
17,No,Non-Travel,1123,Research & Development,1,22,96,4,1,Laboratory Technician,4,2935,7324,Yes,13,3,80,2,2,1,0,0,0
18,No,Travel_Rarely,1219,Sales,1,23,78,2,4,Manager,4,15427,22021,No,16,3,80,0,3,25,8,3,7
19,No,Travel_Rarely,371,Research & Development,1,24,45,3,1,Research Scientist,4,3944,4306,Yes,11,3,80,0,3,3,2,1,2
20,No,Non-Travel,673,Research & Development,1,26,96,4,2,Manufacturing Director,3,4011,8232,No,18,3,80,1,5,4,2,1,3
21,Yes,Travel_Rarely,1218,Sales,1,27,82,2,1,Sales Representative,1,3407,6986,No,23,4,80,0,4,5,3,0,3
22,No,Travel_Rarely,419,Research & Development,1,28,53,3,3,Research Director,2,11994,21293,No,11,3,80,0,4,12,6,2,11
23,No,Travel_Rarely,391,Research & Development,1,30,96,3,1,Research Scientist,4,1232,19281,No,14,3,80,0,6,0,0,0,0
24,Yes,Travel_Rarely,699,Research & Development,1,31,83,3,1,Research Scientist,1,2960,17102,No,11,3,80,0,2,4,2,1,3
25,No,Travel_Rarely,1282,Research & Development,1,32,58,3,5,Manager,3,19094,10735,No,11,3,80,1,3,14,13,4,8
26,Yes,Travel_Frequently,1125,Research & Development,1,33,72,1,1,Research Scientist,1,3919,4681,Yes,22,4,80,0,5,10,2,6,7
27,No,Travel_Rarely,691,Sales,1,35,48,3,2,Sales Executive,2,6825,21173,No,11,3,80,1,2,9,7,4,2
28,No,Travel_Rarely,477,Research & Development,1,36,42,2,3,Healthcare Representative,4,10248,2094,No,14,3,80,1,4,22,6,5,17
29,No,Travel_Rarely,705,Sales,1,38,83,3,5,Manager,1,18947,22822,No,12,3,80,0,2,2,2,2,1
30,No,Travel_Rarely,924,Research & Development,1,39,78,3,1,Laboratory Technician,4,2496,6670,No,11,3,80,0,3,1,1,0,0
31,No,Travel_Rarely,1459,Research & Development,1,40,41,3,2,Healthcare Representative,4,6465,19121,Yes,13,3,80,0,5,4,2,1,3
32,No,Travel_Rarely,125,Research & Development,1,41,83,2,1,Laboratory Technician,3,2206,16117,No,13,3,80,0,5,10,0,1,8
33,Yes,Travel_Rarely,895,Sales,1,42,56,3,2,Sales Representative,4,2086,3335,No,14,3,80,1,6,1,0,0,0
34,Yes,Travel_Rarely,813,Research & Development,1,45,61,3,1,Research Scientist,4,2293,3020,Yes,16,3,80,1,2,2,0,2,0
35,No,Travel_Rarely,1273,Research & Development,1,46,72,4,1,Research Scientist,3,2645,21923,No,12,3,80,2,3,5,3,1,4
